Quarter,Region,Sector,Employment
2023 Q2,Mid-East,Human Health & Social Work,45.7
2023 Q2,Mid-East,Industry,46.9
2023 Q2,Mid-East,Information & Communication,21.9
2023 Q2,Mid-East,Professional & Scientific,24.7
2023 Q2,Mid-East,Public Admin & Defence,27.4
2023 Q2,Mid-East,Transport & Storage,20.5
2023 Q2,Mid-East,Wholesale & Retail,56.0
2023 Q2,Mid-West,Accommodation & Food,20.7
2023 Q2,Mid-West,Admin & Support,10.5
2023 Q2,Mid-West,Agriculture,17.0
2023 Q2,Mid-West,Construction,16.0
2023 Q2,Mid-West,Education,21.8
2023 Q2,Mid-West,Financial & Insurance,6.7
2023 Q2,Mid-West,Human Health & Social Work,35.9
2023 Q2,Mid-West,Industry,40.9
2023 Q2,Mid-West,Information & Communication,8.9
2023 Q2,Mid-West,Professional & Scientific,13.5
2023 Q2,Mid-West,Public Admin & Defence,11.7
2023 Q2,Mid-West,Transport & Storage,9.1
2023 Q2,Mid-West,Wholesale & Retail,28.7
2023 Q2,Midland,Accommodation & Food,9.2
2023 Q2,Midland,Agriculture,7.6
2023 Q2,Midland,Construction,10.7
2023 Q2,Midland,Education,11.7
2023 Q2,Midland,Human Health & Social Work,24.1
2023 Q2,Midland,Industry,23.7
2023 Q2,Midland,Information & Communication,8.1
2023 Q2,Midland,Professional & Scientific,9.6
2023 Q2,Midland,Public Admin & Defence,11.4
2023 Q2,Midland,Transport & Storage,5.6
2023 Q2,Midland,Wholesale & Retail,23.1
2023 Q2,South-East,Accommodation & Food,15.4
2023 Q2,South-East,Admin & Support,8.9
2023 Q2,South-East,Agriculture,13.5
2023 Q2,South-East,Construction,17.7
2023 Q2,South-East,Education,16.8
2023 Q2,South-East,Financial & Insurance,8.0
2023 Q2,South-East,Human Health & Social Work,33.4
2023 Q2,South-East,Industry,28.3
2023 Q2,South-East,Professional & Scientific,12.9
2023 Q2,South-East,Public Admin & Defence,10.5
2023 Q2,South-East,Transport & Storage,9.1
2023 Q2,South-East,Wholesale & Retail,27.2
2023 Q2,South-West,Accommodation & Food,29.2
2023 Q2,South-West,Admin & Support,13.9
2023 Q2,South-West,Agriculture,19.1
2023 Q2,South-West,Construction,21.8
2023 Q2,South-West,Education,31.8
2023 Q2,South-West,Financial & Insurance,11.0
2023 Q2,South-West,Human Health & Social Work,47.0
2023 Q2,South-West,Industry,57.9
2023 Q2,South-West,Information & Communication,21.7
2023 Q2,South-West,Professional & Scientific,22.2
2023 Q2,South-West,Public Admin & Defence,17.5
2023 Q2,South-West,Transport & Storage,12.0
2023 Q2,South-West,Wholesale & Retail,59.3
2023 Q2,West,Accommodation & Food,15.9
2023 Q2,West,Admin & Support,7.8
2023 Q2,West,Agriculture,12.9
2023 Q2,West,Construction,17.6
2023 Q2,West,Education,23.0
2023 Q2,West,Financial & Insurance,8.5
2023 Q2,West,Human Health & Social Work,35.7
2023 Q2,West,Industry,37.0
2023 Q2,West,Information & Communication,13.4
2023 Q2,West,Professional & Scientific,13.8
2023 Q2,West,Public Admin & Defence,10.6
2023 Q2,West,Transport & Storage,9.9
2023 Q2,West,Wholesale & Retail,35.4
2023 Q3,Border,Accommodation & Food,11.5
2023 Q3,Border,Agriculture,18.9
2023 Q3,Border,Construction,16.5
2023 Q3,Border,Education,19.3
2023 Q3,Border,Financial & Insurance,6.7
2023 Q3,Border,Human Health & Social Work,31.8
2023 Q3,Border,Industry,34.9
2023 Q3,Border,Information & Communication,6.7
2023 Q3,Border,Professional & Scientific,10.4
2023 Q3,Border,Public Admin & Defence,10.6
2023 Q3,Border,Transport & Storage,9.0
2023 Q3,Border,Wholesale & Retail,19.9
2023 Q3,Dublin,Accommodation & Food,50.2
2023 Q3,Dublin,Admin & Support,42.1
2023 Q3,Dublin,Construction,37.7
2023 Q3,Dublin,Education,67.1
2023 Q3,Dublin,Financial & Insurance,67.2
2023 Q3,Dublin,Human Health & Social Work,98.8
2023 Q3,Dublin,Industry,55.5
2023 Q3,Dublin,Information & Communication,88.1
2023 Q3,Dublin,Professional & Scientific,70.8
